area,year,pop,15_64,in_mig,out_mig,inc,emp,jun_high,sen_high,jun_col,sen_col,lf_tot,lf_m,lf_f,unemp,prim_emp,sec_emp,ter_emp
19209,2000,"47,888","28,544",-,-,"59,587,169",***,"10,432","17,639","4,842","4,905","26,782","15,392","11,390",650,"4,865","8,143","13,051"
19210,2000,"71,706","50,502",-,-,"101,799,701",***,"9,931","28,496","7,635","7,175","39,038","23,653","15,385","1,567","1,340","13,906","21,981"
19211,2000,"71,025","45,761",-,-,"87,443,921",***,"13,466","27,328","7,996","6,115","40,601","23,190","17,411","1,554","8,154","9,681","21,140"
19212,2000,"30,157","19,689",-,-,"42,582,946",***,"7,379","9,716","2,694","2,977","14,417","9,059","5,358",615,162,"5,545","8,091"
19213,2000,"36,925","22,581",-,-,"46,864,052",***,"8,293","13,664","3,834","3,256","20,511","11,942","8,569",680,"4,934","5,044","9,832"
19214,2000,"30,769","21,274",-,-,"45,021,092",***,"4,183","12,094","3,236","3,220","17,095","10,189","6,906",644,"1,436","6,251","8,738"
19346,2000,"18,854","11,344",-,-,"24,281,591",***,"5,234","6,978","1,624","1,420","9,989","5,860","4,129",390,652,"4,139","4,806"
19364,2000,"1,740",791,81,106,"2,288,824",***,921,486,86,80,809,502,307,17,32,266,494
19365,2000,"18,021","9,845",-,-,"21,623,705",***,"5,658","6,389","1,452","1,313","8,624","5,117","3,507",286,381,"3,256","4,696"
19366,2000,"10,863","6,373",-,-,"13,447,519",***,"3,457","3,699",841,682,"5,222","3,130","2,092",201,229,"2,197","2,594"
19368,2000,"17,544","10,627",-,-,"22,745,837",***,"4,641","6,337","1,473","1,221","9,369","5,497","3,872",298,637,"3,578","4,801"
19384,2000,"15,937","11,207","1,309","1,321","24,127,938",***,"2,144","6,278","1,699","1,899","9,094","5,548","3,546",393,427,"2,904","5,348"
19422,2000,"2,087","1,232",76,86,"2,625,656",***,660,753,97,95,"1,075",628,447,29,99,457,487
19423,2000,"4,910","3,134",177,177,"5,686,504",***,"1,118","1,982",352,268,"2,561","1,526","1,035",108,50,"1,280","1,123"
19424,2000,"8,367","5,799",431,547,"12,613,207",***,"1,679","2,975",696,903,"4,728","3,089","1,639",115,151,"2,340","2,122"
19425,2000,"5,274","3,498",419,376,"8,160,787",***,912,"2,080",496,522,"2,942","1,728","1,214",83,42,506,"2,311"
19429,2000,"2,864","1,820",154,124,"3,674,962",***,766,997,249,213,"1,603",913,690,47,232,480,844
19430,2000,"22,595","14,744",-,-,"30,167,037",***,"4,516","8,385","2,113","2,069","12,426","7,159","5,267",385,307,"3,777","7,951"
19442,2000,"1,084",573,48,34,"1,289,101",***,540,253,55,52,561,336,225,11,58,226,266
19443,2000,866,430,17,37,"946,870",***,517,171,48,41,386,257,129,9,30,118,229
20201,2000,"387,911","253,393",-,-,"588,723,681",***,"62,352","148,978","40,936","42,312","214,067","123,628","90,439","6,877","17,890","55,025","131,302"
20202,2000,"243,465","160,601",-,-,"368,656,794",***,"38,244","95,982","27,347","27,757","134,645","79,498","55,147","4,454","8,940","37,393","83,534"
20203,2000,"166,568","106,933",-,-,"222,251,325",***,"30,672","66,136","16,782","15,722","89,643","52,650","36,993","3,177","6,470","34,611","45,140"
20204,2000,"56,401","36,718","1,947","2,733","89,038,498",***,"11,842","23,211","5,438","4,911","31,277","18,412","12,865","1,068",596,"15,266","14,326"
