"","","","","","A1101","A1302","A5101","A5102","C120110","C2207","E9102","E9103","E9105","E9106","F1101","F110101","F110102","F1107","F2201","F2211","F2221"
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","A1101_Total population[person]","A1302_Population 15-64 years old[person]","A5101_In-migrants from other prefectures[person]","A5102_Out-migrants to other prefectures[person]","C120110_Taxable income[thousand yen]","C2207_Number of employees[person]","E9102_People having completed elementary or junior high school only[person]","E9103_People having completed up to senior high school[person]","E9105_People having completed up to junior college or equivalent[person]","E9106_People having completed college and universities[person]","F1101_Labour force[person]","F110101_Labour force [male][person]","F110102_Labour force [female][person]","F1107_Unemployed persons[person]","F2201_Persons employed in the primary industry[person]","F2211_Persons employed in the secondary industry[person]","F2221_Persons employed in the tertiary industry[person]"
"2010100000","2010","01402","Hokkaido Iwanai-cho","","14,451","8,396","556","656","13,972,371","***","4,674","5,519","1,008","815","7,104","3,962","3,142","477","257","2,031","4,274"
"2010100000","2010","01403","Hokkaido Tomari-mura","","1,883","1,016","67","90","2,104,988","***","645","665","136","117","869","567","302","32","73","188","575"
"2010100000","2010","01404","Hokkaido Kamoenai-mura","","1,122","538","31","60","1,125,746","***","531","342","70","61","511","322","189","19","103","76","313"
"2010100000","2010","01405","Hokkaido Shakotan-cho","","2,516","1,285","47","99","1,668,541","***","1,059","886","135","116","1,280","765","515","74","324","213","669"
"2010100000","2010","01406","Hokkaido Furubira-cho","","3,611","2,002","68","123","2,600,442","***","1,481","1,342","221","154","1,822","988","834","101","264","626","826"
"2010100000","2010","01407","Hokkaido Niki-cho","","3,800","2,141","154","145","2,726,850","***","1,059","1,561","302","235","1,903","1,037","866","56","865","148","827"
"2010100000","2010","01408","Hokkaido Yoichi-cho","","21,258","12,215","700","830","18,628,314","***","4,955","9,364","1,749","1,531","10,106","5,606","4,500","980","1,489","1,614","6,013"
"2010100000","2010","01409","Hokkaido Akaigawa-mura","","1,262","746","92","87","1,095,955","***","379","439","112","121","721","459","262","19","232","95","372"
"2010100000","2010","01423","Hokkaido Nanporo-cho","","8,778","5,679","255","362","9,082,735","***","1,633","3,709","915","604","4,651","2,560","2,091","266","824","785","2,663"
"2010100000","2010","01424","Hokkaido Naie-cho","","6,194","3,358","162","228","5,542,708","***","1,986","2,370","535","326","2,903","1,644","1,259","172","447","781","1,501"
"2010100000","2010","01425","Hokkaido Kamisunagawa-cho","","4,086","1,996","131","156","2,366,574","***","1,707","1,546","181","110","1,545","929","616","351","48","333","811"
"2010100000","2010","01427","Hokkaido Yuni-cho","","5,896","3,269","147","195","4,862,766","***","1,467","2,761","495","284","3,099","1,760","1,339","143","1,098","459","1,381"
"2010100000","2010","01428","Hokkaido Naganuma-cho","","11,691","6,877","354","404","13,230,264","***","2,607","4,643","1,193","794","6,394","3,552","2,842","276","1,855","808","3,183"
"2010100000","2010","01429","Hokkaido Kuriyama-cho","","13,340","7,481","444","527","12,164,486","***","3,412","5,744","1,103","836","6,697","3,692","3,005","345","1,362","1,360","3,571"
"2010100000","2010","01430","Hokkaido Tsukigata-cho","","4,859","3,188","167","191","3,436,876","***","2,031","1,600","346","265","1,935","1,150","785","78","589","267","991"
"2010100000","2010","01431","Hokkaido Urausu-cho","","2,206","1,173","67","107","2,102,846","***","584","1,016","193","99","1,181","671","510","43","576","147","413"
"2010100000","2010","01432","Hokkaido Shintotsukawa-cho","","7,249","3,936","194","247","6,797,709","***","2,061","3,053","574","371","3,539","1,973","1,566","125","969","546","1,869"
"2010100000","2010","01433","Hokkaido Moseushi-cho","","3,462","1,820","77","102","3,149,785","***","946","1,631","277","127","1,686","976","710","121","543","287","735"
"2010100000","2010","01434","Hokkaido Chippubetsu-cho","","2,730","1,454","85","73","2,405,198","***","713","1,216","243","140","1,365","771","594","73","488","159","645"
"2010100000","2010","01436","Hokkaido Uryu-cho","","3,049","1,700","89","129","2,716,528","***","907","1,176","212","135","1,421","801","620","48","541","128","704"
"2010100000","2010","01437","Hokkaido Hokuryu-cho","","2,193","1,123","53","50","1,734,566","***","693","840","254","96","1,159","643","516","43","541","102","473"
"2010100000","2010","01438","Hokkaido Numata-cho","","3,612","1,984","107","159","3,563,873","***","1,055","1,453","347","207","1,889","1,046","843","78","525","273","1,009"
"2010100000","2010","01452","Hokkaido Takasu-cho","","7,345","4,214","258","255","7,280,202","***","1,659","2,971","546","449","3,679","2,062","1,617","208","726","479","2,247"
"2010100000","2010","01453","Hokkaido Higashikagura-cho","","9,292","5,618","389","307","10,273,387","***","1,520","3,557","909","723","4,653","2,567","2,086","182","777","702","2,889"
"2010100000","2010","01454","Hokkaido Tohma-cho","","7,087","3,773","170","183","5,998,585","***","1,876","3,028","432","343","3,626","1,982","1,644","202","1,048","571","1,794"
"2010100000","2010","01455","Hokkaido Pippu-cho","","4,042","2,162","117","115","3,282,717","***","1,253","1,770","279","199","2,155","1,186","969","97","671","279","1,106"
"2010100000","2010","01456","Hokkaido Aibetsu-cho","","3,328","1,731","85","117","2,958,611","***","1,076","1,391","218","174","1,653","919","734","68","503","266","816"
"2010100000","2010","01457","Hokkaido Kamikawa-cho","","4,532","2,496","165","209","3,669,394","***","1,459","1,907","285","305","2,331","1,339","992","144","255","225","1,707"
"2010100000","2010","01458","Hokkaido Higashikawa-cho","","7,859","4,592","409","342","7,273,171","***","1,898","3,090","660","573","3,965","2,250","1,715","190","817","688","2,187"
"2010100000","2010","01459","Hokkaido Biei-cho","","10,956","6,025","329","336","10,172,235","***","2,896","4,660","851","711","5,481","3,054","2,427","279","1,677","569","2,815"
"2010100000","2010","01460","Hokkaido Kamifurano-cho","","11,545","6,970","445","650","12,435,007","***","3,184","4,955","719","478","6,201","3,779","2,422","272","1,081","651","4,136"
"2010100000","2010","01461","Hokkaido Nakafurano-cho","","5,477","3,096","178","236","5,570,626","***","1,650","2,029","388","287","2,872","1,570","1,302","71","1,195","272","1,320"
"2010100000","2010","01462","Hokkaido Minamifurano-cho","","2,814","1,637","149","145","2,656,028","***","931","996","272","186","1,436","835","601","36","320","248","832"
"2010100000","2010","01463","Hokkaido Shimukappu-mura","","1,394","964","82","125","1,407,774","***","326","571","142","163","887","601","286","36","76","241","534"
"2010100000","2010","01464","Hokkaido Wassamu-cho","","3,832","1,927","90","142","3,084,779","***","1,314","1,603","228","148","2,001","1,100","901","77","743","255","921"
"2010100000","2010","01465","Hokkaido Kembuchi-cho","","3,565","1,978","127","129","2,985,174","***","1,122","1,503","254","145","1,925","1,055","870","44","780","210","890"
"2010100000","2010","01468","Hokkaido Shimokawa-cho","","3,775","2,032","129","151","3,411,922","***","1,484","1,289","261","218","1,880","1,073","807","73","437","381","987"
"2010100000","2010","01469","Hokkaido Bifuka-cho","","5,178","2,870","222","250","4,733,546","***","1,576","2,068","295","337","2,490","1,466","1,024","111","577","279","1,519"
"2010100000","2010","01470","Hokkaido Otoineppu-mura","","995","696","95","102","986,790","***","218","404","65","94","504","338","166","12","54","134","304"
"2010100000","2010","01471","Hokkaido Nakagawa-cho","","1,907","1,066","108","110","1,935,465","***","676","728","121","152","1,030","657","373","38","195","278","518"
"2010100000","2010","01472","Hokkaido Horokanai-cho","","1,710","897","90","114","1,836,609","***","610","575","141","105","889","515","374","14","306","95","474"
"2010100000","2010","01481","Hokkaido Mashike-cho","","5,078","2,658","106","178","4,484,715","***","2,023","1,898","285","269","2,487","1,401","1,086","205","500","586","1,196"
"2010100000","2010","01482","Hokkaido Obira-cho","","3,717","2,071","106","159","3,425,561","***","1,470","1,242","241","204","1,834","1,029","805","99","564","254","915"
"2010100000","2010","01483","Hokkaido Tomamae-cho","","3,656","1,927","91","150","3,224,130","***","1,356","1,325","231","158","1,881","1,039","842","89","715","258","815"
"2010100000","2010","01484","Hokkaido Haboro-cho","","7,964","4,284","279","305","7,766,892","***","2,645","3,256","549","414","3,903","2,309","1,594","173","787","522","2,410"
"2010100000","2010","01485","Hokkaido Shosambetsu-mura","","1,369","741","46","59","1,486,752","***","508","416","116","69","662","387","275","16","219","79","344"
"2010100000","2010","01486","Hokkaido Embetsu-cho","","3,084","1,656","91","113","2,892,384","***","1,092","1,143","190","147","1,618","933","685","48","474","298","796"
"2010100000","2010","01487","Hokkaido Teshio-cho","","3,780","2,275","199","170","4,230,593","***","1,139","1,489","295","269","2,132","1,305","827","167","551","296","1,118"
"2010100000","2010","01511","Hokkaido Sarufutsu-mura","","2,825","1,776","118","139","4,763,338","***","851","971","293","200","1,656","929","727","25","544","450","635"
