"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1972-07",6.333958,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1972-08",5.497838,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1972-09",5.462135,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1972-10",5.54956,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1972-11",5.745496,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1972-12",5.666821,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1973-01",8.275911,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1973-02",8.264944,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1973-03",8.007323,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1973-04",7.978858,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1973-05",8.29031,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1973-06",8.795921,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1973-07",11.026,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1973-08",12.43559,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1973-09",12.61097,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1973-10",13.03773,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1973-11",13.07622,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1973-12",13.71449,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1974-01",13.42965,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1974-02",14.66768,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1974-03",15.78888,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1974-04",16.00825,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1974-05",15.80617,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1974-06",15.75212,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1974-07",14.95556,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1974-08",13.28344,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1974-09",14.11491,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1974-10",15.12892,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1974-11",15.45169,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1974-12",14.81552,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1975-01",17.70905,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1975-02",17.20792,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1975-03",17.19277,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1975-04",17.36089,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1975-05",17.54071,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1975-06",17.20638,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1975-07",16.56023,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1975-08",17.75259,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1975-09",17.56855,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1975-10",17.77479,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1975-11",17.74882,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1975-12",18.26062,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1976-01",17.81911,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1976-02",18.04879,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1976-03",17.18181,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1976-04",15.72466,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1976-05",14.35522,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1976-06",14.11358,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1976-07",13.68296,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1976-08",13.54795,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1976-09",13.02622,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1976-10",12.43285,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1976-11",11.96451,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1976-12",11.58457,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1977-01",10.14907,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1977-02",9.377069,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1977-03",9.689318,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1977-04",9.834442,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1977-05",11.44663,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1977-06",11.41465,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1977-07",10.63519,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1977-08",11.69926,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1977-09",11.2896,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1977-10",10.10647,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1977-11",9.864411,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1977-12",9.993229,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1978-01",8.795076,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1978-02",9.744535,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1978-03",9.093307,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1978-04",8.975276,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1978-05",9.71513,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1978-06",9.632548,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1978-07",9.147809,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1978-08",7.917212,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1978-09",7.975837,
